"dragforce:0","dragforce:1","dragforce:2","f:0","f:1","f:2","v:0","v:1","v:2","c_peng","type","id","c_keng","Points:0","Points:1","Points:2"
-0.0060469,-0.0072889,0.42585,-0.0060469,-0.0072889,-0.55169,-0.022183,0.012674,-0.43428,0,1,1,0.065535,138.64,106.32,0.84343
-0.00037725,0.0096302,0.23138,-0.00037725,0.0096302,-0.19868,0.030602,0.0077722,-0.29238,0,1,2,0.029948,145.89,104.54,0.99746
-0.00063299,0.0035075,0.43287,-0.00063299,0.0035075,-0.5606,0.0022832,0.0042754,-0.43776,0,1,10,0.066368,149.22,112.63,0.84098
-0.0039832,-0.0059302,0.42186,-0.0039832,-0.0059302,-0.51977,-0.0054056,-0.0089178,-0.42114,0,1,25,0.061454,121.44,127.87,0.84916
0,0,0,0,0,-0.46381,0.028584,-0.026166,-0.27613,0,1,2263,0.026923,103.77,137.41,0.98051
-0.0010536,0.0010352,0.25295,-0.0010536,0.0010352,-0.17969,-0.00068431,0.00067425,-0.25104,0,1,2048,0.021824,140.17,155.48,0.9961
-0.0041472,-0.0064691,0.40931,-0.0041472,-0.0064691,-0.5207,0.0063612,-0.02389,-0.42818,0,1,89,0.063699,144.93,193.54,0.85108
0.026128,-0.025542,0.62189,0.026128,-0.025542,-0.61267,0.018391,-0.018279,-0.57351,0,1,45,0.11413,152.42,146.37,0.75616
0.0010169,0.00010258,0.29951,0.0010169,0.00010258,-0.25053,0.00040839,3.2204e-05,-0.29784,0,1,48,0.030718,160.02,153.72,0.94451
0.001371,0.0019693,0.59817,0.001371,0.0019693,-0.6364,-0.0011622,0.0021296,-0.597,0,1,58,0.12342,179.99,159.17,0.74941
0.00053366,0.0012082,0.33539,0.00053366,0.0012082,-0.31642,0.00039497,0.00064275,-0.3341,0,1,61,0.038653,157.56,161.23,0.91159
0.00372,0.0021564,0.58583,0.00372,0.0021564,-0.64874,0.0074535,8.4617e-05,-0.58783,0,1,82,0.11968,161.79,183.12,0.75654
0.0066377,0.012484,0.00076046,0.0066377,0.012484,-1.2338,0.0038179,0.0068581,-0.95715,0,1,88,0.31727,163.34,193.45,0.67443
